cvedescription,docFreq,totalTermFreq
remote,49378,52155
via,49628,50439
allows,49378,49593
attackers,47740,47889
arbitrary,33749,34410
before,19745,30814
vulnerability,25215,26655
execute,21061,21228
parameter,13724,16951
which,15999,16626
x,8079,15308
service,13968,14905
code,13563,14117
cause,13095,13250
denial,13032,13114
web,11978,13048
unspecified,12345,12976
1,12103,12718
users,12153,12582
2,11971,12449
sql,6280,12184
vectors,11218,11301
file,9210,11116
earlier,9087,10477
site,10062,10350
allow,10077,10184
cross,9316,9425
script,8936,9371
html,8454,8842
server,7053,8741
local,8357,8519
scripting,8402,8439
xss,8217,8350
inject,7964,8014
information,6560,7950
multiple,7788,7888
crafted,7558,7730
commands,7580,7716
cve,4458,7686
files,6564,7375
buffer,7135,7362
does,6863,6931
overflow,6383,6873
php,4316,6866
injection,6567,6602
aka,6153,6572
unknown,6364,6539
possibly,6067,6353
through,4763,6283
vulnerabilities,5989,6023
function,5382,5996
crash,5785,5843
related,5562,5791
when,5452,5720
3,5508,5676
properly,5212,5313
note,5035,5193
from,4804,5098
request,4704,5026
directory,4184,4913
windows,2955,4895
memory,3931,4806
access,4405,4756
other,4499,4717
application,4204,4580
obtain,4278,4299
authenticated,4271,4294
user,3694,4133
url,3842,4078
privileges,3755,3910
long,3594,3908
dot,1928,3858
gain,3746,3756
read,3660,3743
oracle,2543,3740
index.php,3431,3717
4,3533,3646
sensitive,3500,3541
component,3358,3453
6,2927,3410
based,3268,3333
different,3235,3286
certain,3138,3268
attack,3199,3231
bypass,3187,3220
microsoft,2893,3162
than,3080,3096
system,2769,3042
used,2944,3004
id,2867,2979
traversal,2738,2960
5,2696,2953
data,2612,2938
7,2462,2869
authentication,2533,2763
http,2320,2750
module,2330,2669
demonstrated,2548,2586
linux,2458,2576
password,2114,2551
corruption,2155,2508
impact,2505,2506
action,2057,2472
os,2050,2398
third,2368,2382
details,2363,2376
kernel,1856,2364
message,2154,2348
party,2323,2335
obtained,2302,2302
control,2129,2286
admin,1721,2261
has,2168,2255
name,1939,2213
sp2,1064,2207
manager,1971,2199
string,1786,2171
parameters,1892,2168
error,2086,2164
issue,2013,2131
internet,1770,2131
cisco,1840,2126
ibm,1923,2072
might,1973,2029
mac,1762,2026
java,1187,2015
inclusion,2002,2007
using,1887,1994
affect,1985,1989
command,1795,1971
1.0,1891,1957
stack,1914,1956
apple,1724,1950
path,1735,1918
have,1886,1901
8,1841,1900
field,1627,1849
use,1732,1848
security,1621,1832
10,1573,1785
client,1547,1763
page,1540,1724
explorer,1351,1683
heap,1573,1637
sp1,1050,1623
management,1376,1619
value,1485,1604
triggers,1532,1576
versions,1526,1564
2013,682,1563
large,1452,1523
packet,1286,1522
root,1442,1517
requests,1438,1511
malformed,1458,1500
enabled,1473,1490
bug,1452,1476
firefox,1179,1469
search,1305,1468
enterprise,1322,1459
adobe,1041,1457
2.0,1384,1432
database,1282,1423
integer,1298,1418
9,1380,1418
direct,1389,1415
some,1396,1406
update,901,1402
content,1221,1401
attacks,1301,1369
mail,1055,1323
overflows,1270,1321
integrity,1300,1313
format,896,1289
argument,1174,1265
e,1152,1264
configuration,1183,1264
hp,1119,1249
mozilla,1167,1244
modify,1221,1244
2008,1102,1244
invalid,1178,1240
consumption,1222,1240
sp3,863,1231
